Ts_code,Holder_name,Holder_amount,Hold_ratio
688017.SH,左昱昱,2455.9,20.4
688017.SH,左晶,2455.9,20.4
688017.SH,先进制造产业投资基金(有限合伙),922,7.66
688017.SH,孙雪珍,806.94,6.7
688017.SH,上海谱润创业投资合伙企业(有限合伙),635.2,5.27
688017.SH,中国工商银行股份有限公司-东方红启恒三年持有期混合型证券投资基金,449.33,3.73
688017.SH,许霖杰,313.3,2.6
688017.SH,苏州方广二期创业投资合伙企业(有限合伙),212.5,1.76
688017.SH,UBS AG,157.43,1.31
688017.SH,摩根资产管理(新加坡)有限公司-摩根中国A股市场机会基金,145.4,1.21
688157.SH,长沙茂松科技有限公司,3848.8,48.35
688157.SH,长沙松源企业管理咨询合伙企业(有限合伙),622.6,7.82
688157.SH,颜耀凡,213.14,2.68
688157.SH,伍松,212.25,2.67
688157.SH,杨波,169.8,2.13
688157.SH,戴林成,158.6,1.99
688157.SH,招商银行股份有限公司-睿远成长价值混合型证券投资基金,115.89,1.46
688157.SH,王卫国,99.17,1.25
688157.SH,招商银行股份有限公司-交银施罗德新成长混合型证券投资基金,97.04,1.22
688157.SH,中国工商银行股份有限公司-申万菱信新经济混合型证券投资基金,90.13,1.13
688047.SH,北京天童芯源科技有限公司,8631.61,21.53
688047.SH,北京中科算源资产管理有限公司,7747.75,19.32
688047.SH,宁波中科百孚股权投资合伙企业(有限合伙),5165.17,12.88
688047.SH,横琴利禾博股权投资基金(有限合伙),3615.62,9.02
688047.SH,北京工业发展投资管理有限公司,2582.58,6.44
688047.SH,深圳芯龙投资合伙企业(有限合伙),1749.76,4.36
688047.SH,宁波鼎晖祁贤股权投资合伙企业(有限合伙),1749.76,4.36
688047.SH,北京天童芯正科技发展中心(有限合伙),1291.29,3.22
688047.SH,上海鼎晖华蕴创业投资中心(有限合伙),1291.29,3.22
688047.SH,北京天童芯源投资管理中心(有限合伙),1291.29,3.22
688320.SH,王项彬,2238.07,14.82
688320.SH,Alpha Achieve Limited,1536.38,10.17
688320.SH,衢州禾川投资管理中心(有限合伙),1391.99,9.22
688320.SH,项亨会,1091.57,7.23
688320.SH,龙游联龙股权投资基金合伙企业(有限合伙),782.61,5.18
688320.SH,魏中浩,669.76,4.44
688320.SH,深圳市达晨晨鹰二号股权投资企业(有限合伙),645.44,4.27
688320.SH,徐晓杰,458.6,3.04
688320.SH,中金禾川1号员工参与科创板战略配售集合资产管理计划,377.6,2.5
688320.SH,张家港国弘智能制造投资企业(有限合伙),344.22,2.28
688325.SH,东莞市伟途投资管理合伙企业(有限合伙),1761.06,22.01
688325.SH,上海武岳峰集成电路股权投资合伙企业(有限合伙),977.87,12.22
688325.SH,上海物联网二期创业投资基金合伙企业(有限合伙),579.04,7.24
688325.SH,苏州邦盛赢新创业投资企业(有限合伙),567.46,7.09
688325.SH,珠海市聚核投资合伙企业(有限合伙),480,6
688325.SH,北京武岳峰亦合高科技产业投资合伙企业(有限合伙),334.89,4.19
688325.SH,东莞市微合投资管理合伙企业(有限合伙),264.25,3.3
688325.SH,上海岭观企业管理合伙企业(有限合伙),241.12,3.01
688325.SH,深圳市前海弘盛技术有限公司,210.58,2.63
688325.SH,深圳市毕方一号投资中心(有限合伙),205.27,2.57
688533.SH,苏州上声投资管理有限公司,4200,26.25
688533.SH,共青城同泰投资管理合伙企业(有限合伙),3000,18.75
688533.SH,苏州市相城区元和街道集体资产经营公司,2899.2,18.12
688533.SH,苏州市相城区无线电元件一厂,1900.8,11.88
688533.SH,东吴证券-招商银行-东吴证券上声电子员工参与科创板战略配售集合资产管理计划,400,2.5
688533.SH,全国社保基金一一六组合,128.74,0.8
688533.SH,中国银行股份有限公司-泰达宏利转型机遇股票型证券投资基金,119.32,0.75
688533.SH,东吴创新资本管理有限责任公司,111.95,0.7
688533.SH,中国银行股份有限公司-国联安优选行业混合型证券投资基金,93.16,0.58
688533.SH,中国银行股份有限公司-平安匠心优选混合型证券投资基金,88.92,0.56
600272.SH,上海开开(集团)有限公司,6440.98,26.51
600272.SH,上海静安国有资产经营有限公司,600,2.47
600272.SH,上海金兴贸易公司,300,1.23
600272.SH,HAITONG INTERNATIONAL SECURITIES COMPANY LIMITED-ACCOUNT CLIENT,101.01,0.42
600272.SH,上海九百(集团)有限公司,88,0.36
600272.SH,BOCI SECURITIES LIMITED,86.27,0.36
600272.SH,王镇霖,75.86,0.31
600272.SH,姜毓萍,75.38,0.31
600272.SH,周博,69.7,0.29
600272.SH,顾琴华,65.36,0.27
601101.SH,北京能源集团有限责任公司,75967.8,63.31
601101.SH,中国中煤能源集团有限公司,2231.43,1.86
601101.SH,北京久阳润泉资本管理中心(有限合伙)-润泉东方2期私募证券投资基金,644.15,0.54
601101.SH,招商证券股份有限公司-建信中小盘先锋股票型证券投资基金,623.42,0.52
601101.SH,招商银行股份有限公司-中欧红利优享灵活配置混合型证券投资基金,585.4,0.49
601101.SH,中国农业银行股份有限公司-中邮核心优势灵活配置混合型证券投资基金,502.5,0.42
601101.SH,中欧基金-农业银行-中国太平洋人寿股票相对收益型产品(保额分红)委托投资计划,465.62,0.39
601101.SH,中国工商银行股份有限公司-申万菱信新动力混合型证券投资基金,463.69,0.39
601101.SH,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,457.56,0.38
601101.SH,中国银行股份有限公司-建信创新驱动混合型证券投资基金,423.94,0.35
603656.SH,许大红,5660.32,36.89
603656.SH,葛苏徽,903.52,5.89
603656.SH,颜天信,892.37,5.82
603656.SH,唐麟,809.68,5.28
603656.SH,天津海达创业投资管理有限公司,381.86,2.49
603656.SH,郭芃,317.32,2.07
603656.SH,上海万钲祥金属材料有限公司,175.19,1.14
603656.SH,上海君翼投资管理有限公司-君翼量化2号基金,149.06,0.97
603656.SH,吴建同,99.71,0.65
603656.SH,黄慧丽,83.9,0.55
603758.SH,YUANMING TANG,28799.82,65.63
603758.SH,上海祥禾泓安股权投资合伙企业(有限合伙),755.22,1.72
603758.SH,唐梓长,685,1.56
603758.SH,上海泓成创业投资合伙企业(有限合伙),511.32,1.17
603758.SH,上海祥禾涌安股权投资合伙企业(有限合伙),488.46,1.11
603758.SH,张于书,394.86,0.9
603758.SH,张华鸣,360,0.82
603758.SH,唐亚东,330.53,0.75
603758.SH,罗小川,245,0.56
603758.SH,杨力,239.87,0.55
603319.SH,许仲秋,3138.71,19.54
603319.SH,许文慧,1240.96,7.73
603319.SH,国泰基金-交通银行-国泰基金博远20号集合资产管理计划,317.56,1.98
603319.SH,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金,277.28,1.73
603319.SH,周勇,271.37,1.69
603319.SH,袁春华,261.99,1.63
603319.SH,王雄,243.44,1.52
603319.SH,国泰基金-上海银行-国泰基金格物2号集合资产管理计划,229.68,1.43
603319.SH,上海国际信托有限公司,177.1,1.1
603319.SH,王静,165.36,1.03
605050.SH,崔建华,12781,29.38
605050.SH,上海人科投资管理合伙企业(有限合伙),12375,28.45
605050.SH,上海傅桐企业管理咨询合伙企业(有限合伙),4500,10.34
605050.SH,崔建兵,3195,7.34
605050.SH,上海行盛投资合伙企业(有限合伙),3150,7.24
605050.SH,许磊,135,0.31
605050.SH,许喆,103,0.24
605050.SH,李亮,82.05,0.19
605050.SH,邬瑞邦,55.6,0.13
605050.SH,王云法,48,0.11
600361.SH,北京华联集团投资控股有限公司,19419.6,29.17
600361.SH,海南亿雄商业投资管理有限公司,9024.83,13.55
600361.SH,洋浦万利通科技有限公司,7806.35,11.72
600361.SH,陈素青,802.63,1.21
600361.SH,北京华联商厦股份有限公司,354.9,0.53
600361.SH,孙海涛,335,0.5
600361.SH,沈成荣,257.51,0.39
600361.SH,周学红,249.55,0.37
600361.SH,李继芳,220.76,0.33
600361.SH,靖鸽,181.36,0.27
600829.SH,哈药集团股份有限公司,43389.44,74.82
600829.SH,方韶军,452.73,0.78
600829.SH,UBS AG,365.85,0.63
600829.SH,姚志平,170.69,0.29
600829.SH,吴爱德,110,0.19
600829.SH,黄菊霞,107.5,0.19
600829.SH,中国民生银行股份有限公司-金元顺安元启灵活配置混合型证券投资基金,107.13,0.18
600829.SH,中国国际金融香港资产管理有限公司-客户资金2,100.15,0.17
600829.SH,付银凤,75.54,0.13
600829.SH,李晨,74,0.13
603530.SH,上海神马电力控股有限公司,27000,62.46
603530.SH,陈小琴,9000,20.82
603530.SH,南通苏通集成电路重大产业项目投资基金合伙企业(有限合伙),759.88,1.76
603530.SH,南通产业控股集团有限公司,379.94,0.88
603530.SH,国网英大产业投资基金管理有限公司-龙岩鑫达股权投资中心(有限合伙),227.96,0.53
603530.SH,沈行迪,31.25,0.07
603530.SH,MORGAN STANLEY & CO. INTERNATIONAL PLC.,31.01,0.07
603530.SH,管仲,27.11,0.06
603530.SH,黄林娟,23.72,0.05
603530.SH,郑明滨,22.5,0.05
603322.SH,梁建华,4903.5,30.62
603322.SH,横琴广金美好基金管理有限公司-广金美好薛定谔二号私募证券投资基金,900,5.62
603322.SH,孟迪丽,814.55,5.09
603322.SH,广州诚信创业投资有限公司,694.81,4.34
603322.SH,邱晓华,660.89,4.13
603322.SH,天津久德长盛股权投资基金合伙企业(有限合伙),335.89,2.1
603322.SH,钟海辉,162.11,1.01
603322.SH,万军,153.4,0.96
603322.SH,王浩,104.98,0.66
603322.SH,铸锋资产管理(北京)有限公司-铸锋纯钧6号私募证券投资基金,98.9,0.62
600213.SH,潍柴(扬州)亚星汽车有限公司,17820,62.31
600213.SH,胡祖平,509.09,1.78
600213.SH,周岭松,180.51,0.63
600213.SH,吴春燕,160.7,0.56
