Ts_code,Hs_type
688017.SH,SH
688157.SH,SH
688047.SH,SH
688320.SH,SH
688325.SH,SH
688533.SH,SH
600272.SH,SH
601101.SH,SH
603656.SH,SH
603758.SH,SH
603319.SH,SH
605050.SH,SH
600361.SH,SH
600829.SH,SH
603530.SH,SH
603322.SH,SH
600213.SH,SH
600513.SH,SH
603330.SH,SH
600259.SH,SH
603527.SH,SH
603051.SH,SH
605499.SH,SH
603728.SH,SH
603779.SH,SH
603097.SH,SH
600969.SH,SH
600348.SH,SH
601717.SH,SH
605588.SH,SH
603917.SH,SH
603015.SH,SH
688116.SH,SH
600477.SH,SH
603239.SH,SH
601886.SH,SH
600378.SH,SH
600418.SH,SH
688621.SH,SH
688097.SH,SH
600165.SH,SH
600004.SH,SH
601001.SH,SH
603399.SH,SH
688037.SH,SH
603966.SH,SH
600686.SH,SH
688630.SH,SH
603345.SH,SH
603688.SH,SH
603317.SH,SH
600026.SH,SH
603517.SH,SH
605117.SH,SH
603737.SH,SH
605376.SH,SH
603032.SH,SH
600647.SH,SH
600328.SH,SH
600841.SH,SH
600761.SH,SH
688662.SH,SH
603192.SH,SH
603800.SH,SH
688356.SH,SH
688577.SH,SH
601888.SH,SH
600188.SH,SH
600496.SH,SH
600841.SH,SH
603289.SH,SH
600546.SH,SH
600084.SH,SH
600508.SH,SH
603655.SH,SH
688185.SH,SH
603396.SH,SH
603719.SH,SH
601995.SH,SH
601975.SH,SH
600256.SH,SH
688577.SH,SH
605488.SH,SH
600876.SH,SH
601995.SH,SH
600592.SH,SH
601975.SH,SH
600070.SH,SH
603116.SH,SH
603178.SH,SH
600276.SH,SH
688045.SH,SH
600545.SH,SH
603256.SH,SH
603236.SH,SH
688618.SH,SH
688262.SH,SH
603133.SH,SH
603606.SH,SH
603077.SH,SH
301199.SZ,SZ
300093.SZ,SZ
300930.SZ,SZ
300113.SZ,SZ
300707.SZ,SZ
300799.SZ,SZ
300679.SZ,SZ
300367.SZ,SZ
300027.SZ,SZ
300801.SZ,SZ
300400.SZ,SZ
301073.SZ,SZ
300534.SZ,SZ
300032.SZ,SZ
300842.SZ,SZ
300613.SZ,SZ
300503.SZ,SZ
300041.SZ,SZ
300307.SZ,SZ
300325.SZ,SZ
301168.SZ,SZ
301221.SZ,SZ
002503.SZ,SZ
002031.SZ,SZ
002528.SZ,SZ
000530.SZ,SZ
002218.SZ,SZ
002652.SZ,SZ
002905.SZ,SZ
000838.SZ,SZ
002166.SZ,SZ
002896.SZ,SZ
002454.SZ,SZ
002158.SZ,SZ
002549.SZ,SZ
002079.SZ,SZ
002529.SZ,SZ
002838.SZ,SZ
001316.SZ,SZ
300660.SZ,SZ
002731.SZ,SZ
003028.SZ,SZ
002058.SZ,SZ
001226.SZ,SZ
002866.SZ,SZ
003030.SZ,SZ
001296.SZ,SZ
002943.SZ,SZ
002655.SZ,SZ
000683.SZ,SZ
003002.SZ,SZ
000892.SZ,SZ
002363.SZ,SZ
002050.SZ,SZ
000821.SZ,SZ
002631.SZ,SZ
003039.SZ,SZ
002738.SZ,SZ
002902.SZ,SZ
002805.SZ,SZ
002623.SZ,SZ
002248.SZ,SZ
002101.SZ,SZ
002996.SZ,SZ
002747.SZ,SZ
002917.SZ,SZ
002291.SZ,SZ
002907.SZ,SZ
002033.SZ,SZ
002843.SZ,SZ
002571.SZ,SZ
002786.SZ,SZ
002514.SZ,SZ
000058.SZ,SZ
002888.SZ,SZ
002953.SZ,SZ
001208.SZ,SZ
002753.SZ,SZ
002191.SZ,SZ
002451.SZ,SZ
002451.SZ,SZ
002331.SZ,SZ
000868.SZ,SZ
002355.SZ,SZ
002565.SZ,SZ
002689.SZ,SZ
301266.SZ,SZ
000524.SZ,SZ
300552.SZ,SZ
003021.SZ,SZ
000625.SZ,SZ
002460.SZ,SZ
300910.SZ,SZ
300611.SZ,SZ
300545.SZ,SZ
002610.SZ,SZ
300543.SZ,SZ
002760.SZ,SZ
300712.SZ,SZ
300973.SZ,SZ
